Id,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
978,ADULT,29,9,25 to 34 years,Park,November,2015,email,TRUE,2013,FALSE,
979,ADULT,596,8,45 to 54 years,Main Library,October,2014,email,TRUE,2008,FALSE,5
980,ADULT,11,0,25 to 34 years,Bayview/Linda Brooks-Burton,August,2013,email,TRUE,2003,TRUE,
981,ADULT,8,0,60 to 64 years,Chinatown,December,2012,email,TRUE,2012,FALSE,3
982,ADULT,7,1,45 to 54 years,Mission,July,2016,email,TRUE,2015,FALSE,8
983,ADULT,285,381,20 to 24 years,Portola,July,2016,email,TRUE,2009,FALSE,10
984,ADULT,25,27,55 to 59 years,Marina,May,2015,email,TRUE,2004,FALSE,
985,ADULT,20,4,20 to 24 years,Mission,December,2015,email,TRUE,2012,FALSE,
986,ADULT,26,6,45 to 54 years,Eureka Valley/Harvey Milk Memorial,April,2014,email,TRUE,2003,FALSE,8
987,ADULT,83,23,45 to 54 years,Park,August,2013,email,TRUE,2012,FALSE,5
988,ADULT,60,33,20 to 24 years,Mission,April,2016,email,TRUE,2014,FALSE,
989,ADULT,59,0,35 to 44 years,Ortega,October,2015,email,TRUE,2009,FALSE,1
990,ADULT,5,0,25 to 34 years,Ocean View,December,2014,phone,FALSE,2013,FALSE,11
991,ADULT,373,46,45 to 54 years,Western Addition,April,2016,email,TRUE,2004,FALSE,4
992,ADULT,32,35,20 to 24 years,Mission,April,2016,phone,TRUE,2012,FALSE,5
993,ADULT,122,52,25 to 34 years,North Beach,January,2015,email,TRUE,2003,FALSE,4
994,ADULT,125,72,35 to 44 years,Park,February,2016,email,TRUE,2003,FALSE,5
995,SENIOR,37,6,65 to 74 years,Main Library,February,2014,phone,FALSE,2003,FALSE,8
996,ADULT,1,0,20 to 24 years,Mission Bay,November,2015,email,TRUE,2015,FALSE,7
997,ADULT,454,396,55 to 59 years,Parkside,February,2016,email,TRUE,2003,FALSE,3
998,WELCOME,1,3,20 to 24 years,Western Addition,July,2015,email,TRUE,2015,FALSE,5
999,ADULT,1,0,55 to 59 years,Main Library,January,2015,email,TRUE,2014,TRUE,
1000,ADULT,57,21,20 to 24 years,Ingleside,June,2016,email,TRUE,2003,FALSE,11
1001,ADULT,28,6,35 to 44 years,Ingleside,July,2015,email,TRUE,2015,TRUE,
1002,ADULT,104,10,35 to 44 years,Chinatown,September,2015,email,TRUE,2011,FALSE,3
1003,ADULT,712,323,35 to 44 years,Golden Gate Valley,July,2016,email,TRUE,2011,FALSE,2
1004,ADULT,8,7,25 to 34 years,Merced,June,2016,email,TRUE,2014,FALSE,7
1005,ADULT,66,5,35 to 44 years,Merced,July,2016,email,TRUE,2014,FALSE,
1006,ADULT,6,3,25 to 34 years,Main Library,June,2016,email,TRUE,2015,TRUE,
1007,ADULT,6,3,25 to 34 years,Main Library,June,2016,email,TRUE,2015,TRUE,
1008,ADULT,88,132,55 to 59 years,Main Library,December,2013,phone,FALSE,2003,FALSE,
1009,ADULT,3,2,35 to 44 years,Richmond,May,2016,phone,FALSE,2013,FALSE,
1010,ADULT,56,43,35 to 44 years,Bernal Heights,February,2016,email,TRUE,2011,FALSE,9
1011,SENIOR,146,46,65 to 74 years,Chinatown,November,2015,print,FALSE,2008,FALSE,9
1012,ADULT,238,32,60 to 64 years,Ocean View,July,2016,email,TRUE,2010,FALSE,11
1013,ADULT,53,35,45 to 54 years,Mission,March,2010,email,TRUE,2003,FALSE,
1014,ADULT,8,3,35 to 44 years,Richmond,March,2015,email,TRUE,2013,TRUE,
1015,ADULT,113,32,25 to 34 years,Bayview/Linda Brooks-Burton,November,2014,email,TRUE,2008,TRUE,
1016,TEACHER CARD,83,5,25 to 34 years,Excelsior,July,2016,email,TRUE,2015,FALSE,11
1017,SENIOR,19,11,65 to 74 years,Richmond,January,2007,email,TRUE,2003,FALSE,2
1018,ADULT,5,0,35 to 44 years,Main Library,July,2012,email,TRUE,2003,FALSE,8
1019,ADULT,200,183,25 to 34 years,Main Library,August,2014,email,TRUE,2011,FALSE,6
1020,ADULT,2,6,25 to 34 years,Main Library,September,2015,email,TRUE,2015,FALSE,3
1021,ADULT,27,0,35 to 44 years,Anza,May,2016,email,TRUE,2014,FALSE,1
1022,ADULT,119,47,35 to 44 years,Sunset,August,2013,email,TRUE,2003,FALSE,
1023,ADULT,6,1,35 to 44 years,Mission,May,2016,email,TRUE,2016,FALSE,9
1024,ADULT,3,0,25 to 34 years,Merced,April,2014,email,TRUE,2014,TRUE,
1025,SENIOR,489,48,65 to 74 years,Main Library,July,2016,email,TRUE,2009,FALSE,
1026,ADULT,29,1,45 to 54 years,Richmond,June,2012,email,TRUE,2009,FALSE,1
1027,ADULT,1071,493,55 to 59 years,Eureka Valley/Harvey Milk Memorial,July,2016,email,TRUE,2003,FALSE,8
1028,SENIOR,12,0,65 to 74 years,Bayview/Linda Brooks-Burton,September,2015,email,TRUE,2013,FALSE,10
1029,TEACHER CARD,30,0,25 to 34 years,Merced,February,2016,email,TRUE,2016,FALSE,11
1030,SENIOR,860,432,65 to 74 years,Chinatown,April,2016,email,TRUE,2003,FALSE,3
1031,ADULT,45,11,45 to 54 years,Mission Bay,May,2016,email,TRUE,2016,FALSE,
1032,ADULT,5,0,35 to 44 years,Parkside,September,2013,email,TRUE,2013,FALSE,7
1033,ADULT,11,0,25 to 34 years,Main Library,April,2014,print,FALSE,2010,FALSE,10
